v0,tor_lead_time,x_hazard,policy,a_coast,t_buildup,stopping_margin,collision,impact_speed,ttc_min,x_stop_full
30.0,2.1,63.0,W0,3.0,0.1,-24.45263515807109,True,20.38859479432978,0.0,87.45263515807109
30.0,2.1,63.0,W1,3.0,0.1,-12.442311628661628,True,14.543703025273302,0.0,75.44231162866163
30.0,2.1,63.0,W0,4.0,0.1,-24.45263515807109,True,20.38859479432978,0.0,87.45263515807109
30.0,2.1,63.0,W1,4.0,0.1,-8.674164569834886,True,12.143343760565894,0.0,71.67416456983489
30.0,2.1,63.0,W0,0.0,0.2,-25.942010158071724,True,21.00033744222675,0.0,88.94201015807172
30.0,2.1,63.0,W1,0.0,0.2,-25.942010158071724,True,21.00033744222675,0.0,88.94201015807172
30.0,2.1,63.0,W0,1.0,0.2,-25.942010158071724,True,21.00033744222675,0.0,88.94201015807172
30.0,2.1,63.0,W1,1.0,0.2,-21.77092192277361,True,19.238130696283836,0.0,84.77092192277361
30.0,2.1,63.0,W0,2.0,0.2,-25.942010158071724,True,21.00033744222675,0.0,88.94201015807172
30.0,2.1,63.0,W1,2.0,0.2,-17.717480746312688,True,17.355033065005607,0.0,80.71748074631269
30.0,2.1,63.0,W0,3.0,0.2,-25.942010158071724,True,21.00033744222675,0.0,88.94201015807172
30.0,2.1,63.0,W1,3.0,0.2,-13.781686628662229,True,15.3064911945017,0.0,76.78168662866223
30.0,2.1,63.0,W0,4.0,0.2,-25.942010158071724,True,21.00033744222675,0.0,88.94201015807172
30.0,2.1,63.0,W1,4.0,0.2,-9.963539569835348,True,13.014613812452817,0.0,72.96353956983535
30.0,2.1,63.0,W0,0.0,0.3,-27.42430182473892,True,21.59196913254421,0.0,90.42430182473892
30.0,2.1,63.0,W1,0.0,0.3,-27.42430182473892,True,21.59196913254421,0.0,90.42430182473892
30.0,2.1,63.0,W0,1.0,0.3,-27.42430182473892,True,21.59196913254421,0.0,90.42430182473892
30.0,2.1,63.0,W1,1.0,0.3,-23.203213589440722,True,19.860881929578248,0.0,86.20321358944072
