steer_speed_thresh_rad_s,brake_force_rate_thresh_N_s,persistence_duration_s,search_start_condition,eligible_trials,settled_rate_pct,t_stable_median_s,t_stable_iqr_s,t_stable_mean_s,t_stable_std_s,near_end_trials_pct
0.03,30.0,1.0,Time_Lane_Change,484,100.0,21.325359106066287,10.312604725353498,21.80445792458132,10.60696312223269,0.0
0.03,30.0,1.5,Time_Lane_Change,484,99.79338842975206,24.450018405867432,8.249540090566288,26.614611377379035,11.459166350572758,0.2066115702479339
0.03,30.0,2.0,Time_Lane_Change,484,98.96694214876032,25.44940614696743,8.649419069283713,27.82224922538412,10.98531802409775,0.0
0.05,10.0,1.0,Time_Lane_Change,484,100.0,18.92491555213371,11.074592113467432,19.605904205770095,10.521447763449945,0.0
0.05,10.0,1.5,Time_Lane_Change,484,100.0,22.54981863499186,7.437922894895358,24.530904207346417,11.229165829171558,0.0
0.05,10.0,2.0,Time_Lane_Change,484,100.0,24.12490558625,8.12569010258429,26.260552967874037,11.16446520260924,0.0
0.05,20.0,1.0,Time_Lane_Change,484,100.0,18.824795365341856,11.0372748375,19.573052965903635,10.506671143374195,0.0
0.05,20.0,1.5,Time_Lane_Change,484,100.0,22.549610733991855,7.45025110249243,24.424602554847937,11.223838771009023,0.0
0.05,20.0,2.0,Time_Lane_Change,484,100.0,23.950099706666286,8.212966203723852,26.17522238995276,11.168839529391876,0.0
0.05,30.0,1.0,Time_Lane_Change,484,100.0,18.75056326389186,10.887382507317433,19.507867017066733,10.489493870131895,0.0
0.05,30.0,1.5,Time_Lane_Change,484,100.0,22.549610733991855,7.487533271296499,24.39164800929487,11.224132612954635,0.0
0.05,30.0,2.0,Time_Lane_Change,484,100.0,23.90028572085,8.16274344918314,26.125945531138267,11.163448404415098,0.0
0.08,10.0,1.0,Time_Lane_Change,484,100.0,14.449713826174428,9.862856447647076,16.494850489717436,10.006761881998834,0.0
0.08,10.0,1.5,Time_Lane_Change,484,100.0,20.625090003008143,9.087577581448851,21.374395944361414,10.444435943260041,0.0
0.08,10.0,2.0,Time_Lane_Change,484,100.0,22.70051074026628,8.0375801921465,24.465924869882723,10.294516087881336,0.0
0.08,20.0,1.0,Time_Lane_Change,484,100.0,14.449713826174428,9.861880183175572,16.464788506837483,9.98782540646908,0.0
0.08,20.0,1.5,Time_Lane_Change,484,100.0,20.52470207215,8.838112890694779,21.296606688458624,10.405753354693775,0.0
0.08,20.0,2.0,Time_Lane_Change,484,100.0,22.649708509416286,8.074268341099998,24.38875544760696,10.29045085802219,0.0
0.08,30.0,1.0,Time_Lane_Change,484,100.0,14.375120878216283,9.862970471374428,16.372226524450127,9.98031525251489,0.0
0.08,30.0,1.5,Time_Lane_Change,484,100.0,20.499816417667432,8.850663542693006,21.255077763528433,10.412588906336884,0.0
0.08,30.0,2.0,Time_Lane_Change,484,100.0,22.525199174883717,7.974554181116858,24.28462321748276,10.309906684311837,0.0
