trial_id,participant_id,scenario_id,density,nback,first_action_type,action_order_string,dt_steer_minus_brake,dt_brake_minus_accel,is_simultaneous_brake_steer,is_simultaneous_accel_steer
density_10_nback_0_id_5,5,density_10_nback_0,10,0,SIMULTANEOUS_BRAKE_STEER,accel_release -> steer -> brake,0.0,0.14999985694885254,True,False
density_10_nback_1_id_5,5,density_10_nback_1,10,1,BRAKE_FIRST,accel_release -> brake -> steer,4.349999904632568,0.10000014305114746,False,False
density_10_nback_2_id_5,5,density_10_nback_2,10,2,BRAKE_FIRST,accel_release -> brake -> steer,5.8999998569488525,1.1500000953674316,False,False
density_20_nback_0_id_5,5,density_20_nback_0,20,0,STEER_FIRST,steer -> accel_release -> brake,-1.5499999523162842,0.8499999046325684,False,False
density_20_nback_1_id_5,5,density_20_nback_1,20,1,BRAKE_FIRST,accel_release -> brake -> steer,1.9500000476837158,0.7999999523162842,False,False
density_20_nback_2_id_5,5,density_20_nback_2,20,2,BRAKE_FIRST,accel_release -> brake -> steer,5.1499998569488525,0.25,False,False
density_0_nback_0_id_6,6,density_0_nback_0,0,0,BRAKE_FIRST,accel_release -> brake -> steer,2.4499998092651367,0.10000014305114746,False,False
density_0_nback_1_id_6,6,density_0_nback_1,0,1,STEER_FIRST,steer -> brake,-2.299999952316284,,False,False
density_0_nback_2_id_6,6,density_0_nback_2,0,2,STEER_FIRST,steer -> brake,-10.5,,False,False
density_10_nback_0_id_6,6,density_10_nback_0,10,0,STEER_FIRST,accel_release -> steer -> brake,-0.5999999046325684,0.7999999523162842,False,False
density_10_nback_1_id_6,6,density_10_nback_1,10,1,BRAKE_FIRST,accel_release -> brake -> steer,1.9500000476837158,0.14999985694885254,False,False
density_10_nback_2_id_6,6,density_10_nback_2,10,2,BRAKE_FIRST,accel_release -> brake -> steer,0.8999998569488525,1.1500000953674316,False,False
density_20_nback_0_id_6,6,density_20_nback_0,20,0,STEER_FIRST,steer -> accel_release -> brake,-1.0,0.5499999523162842,False,False
density_20_nback_1_id_6,6,density_20_nback_1,20,1,BRAKE_FIRST,accel_release -> brake -> steer,1.7999999523162842,0.75,False,False
density_20_nback_2_id_6,6,density_20_nback_2,20,2,BRAKE_FIRST,accel_release -> brake -> steer,1.75,0.0,False,False
density_0_nback_0_id_7,7,density_0_nback_0,0,0,BRAKE_FIRST,accel_release -> brake -> steer,2.1499998569488525,0.15000009536743164,False,False
density_0_nback_1_id_7,7,density_0_nback_1,0,1,STEER_FIRST,steer -> brake,-41.90000009536743,,False,False
density_0_nback_2_id_7,7,density_0_nback_2,0,2,BRAKE_FIRST,brake -> steer,2.299999952316284,,False,False
