trial_id,participant_id,scenario_id,density,nback,brake_extrema_count,brake_reapplication_count,brake_derivative_sign_changes,steering_reversals_count,steering_rate_sign_changes
density_10_nback_0_id_22,22,density_10_nback_0,10,0,3,4,19,62,93
density_10_nback_1_id_22,22,density_10_nback_1,10,1,2,0,5,41,176
density_10_nback_2_id_22,22,density_10_nback_2,10,2,4,3,15,61,83
density_20_nback_0_id_22,22,density_20_nback_0,20,0,2,1,5,135,144
density_20_nback_1_id_22,22,density_20_nback_1,20,1,3,2,11,33,53
density_20_nback_2_id_22,22,density_20_nback_2,20,2,5,4,10,9,165
density_0_nback_0_id_23,23,density_0_nback_0,0,0,1,0,6,56,77
density_0_nback_1_id_23,23,density_0_nback_1,0,1,1,0,0,101,102
density_0_nback_2_id_23,23,density_0_nback_2,0,2,3,2,6,108,177
density_10_nback_0_id_23,23,density_10_nback_0,10,0,9,7,25,34,58
density_10_nback_1_id_23,23,density_10_nback_1,10,1,3,1,9,66,212
density_10_nback_2_id_23,23,density_10_nback_2,10,2,6,5,25,48,65
density_20_nback_0_id_23,23,density_20_nback_0,20,0,3,1,7,224,232
density_20_nback_1_id_23,23,density_20_nback_1,20,1,6,5,17,52,73
density_20_nback_2_id_23,23,density_20_nback_2,20,2,7,4,24,26,264
density_0_nback_0_id_24,24,density_0_nback_0,0,0,2,1,3,66,85
density_0_nback_1_id_24,24,density_0_nback_1,0,1,1,0,0,107,107
density_0_nback_2_id_24,24,density_0_nback_2,0,2,2,0,5,75,158
density_10_nback_0_id_24,24,density_10_nback_0,10,0,3,2,12,40,69
density_10_nback_1_id_24,24,density_10_nback_1,10,1,3,2,18,72,151
density_10_nback_2_id_24,24,density_10_nback_2,10,2,5,4,15,60,66
density_20_nback_0_id_24,24,density_20_nback_0,20,0,3,1,10,227,240
density_20_nback_1_id_24,24,density_20_nback_1,20,1,4,4,17,43,73
density_20_nback_2_id_24,24,density_20_nback_2,20,2,7,4,45,14,304
density_0_nback_0_id_25,25,density_0_nback_0,0,0,1,0,3,78,93
density_0_nback_1_id_25,25,density_0_nback_1,0,1,1,0,0,78,81
density_0_nback_2_id_25,25,density_0_nback_2,0,2,2,0,3,130,164
density_10_nback_0_id_25,25,density_10_nback_0,10,0,3,3,16,30,63
density_10_nback_1_id_25,25,density_10_nback_1,10,1,3,1,14,63,187
density_10_nback_2_id_25,25,density_10_nback_2,10,2,5,3,16,82,91
density_20_nback_0_id_25,25,density_20_nback_0,20,0,3,0,8,236,247
density_20_nback_1_id_25,25,density_20_nback_1,20,1,7,3,72,75,140
density_20_nback_2_id_25,25,density_20_nback_2,20,2,3,2,5,14,228
density_0_nback_0_id_26,26,density_0_nback_0,0,0,2,1,11,61,79
density_0_nback_1_id_26,26,density_0_nback_1,0,1,3,2,7,94,96
density_0_nback_2_id_26,26,density_0_nback_2,0,2,3,2,8,143,192
density_10_nback_0_id_26,26,density_10_nback_0,10,0,4,4,17,29,52
density_10_nback_1_id_26,26,density_10_nback_1,10,1,5,0,20,73,202
density_10_nback_2_id_26,26,density_10_nback_2,10,2,6,5,13,35,43
density_20_nback_0_id_26,26,density_20_nback_0,20,0,2,0,7,198,206
density_20_nback_1_id_26,26,density_20_nback_1,20,1,5,4,17,38,64
density_20_nback_2_id_26,26,density_20_nback_2,20,2,9,7,20,14,252
density_0_nback_0_id_27,27,density_0_nback_0,0,0,3,4,30,181,206
density_0_nback_1_id_27,27,density_0_nback_1,0,1,2,0,16,94,95
density_0_nback_2_id_27,27,density_0_nback_2,0,2,4,2,17,103,147
density_10_nback_0_id_27,27,density_10_nback_0,10,0,7,6,35,18,42
density_10_nback_1_id_27,27,density_10_nback_1,10,1,2,0,15,117,170
density_10_nback_2_id_27,27,density_10_nback_2,10,2,6,7,13,54,66
density_20_nback_0_id_27,27,density_20_nback_0,20,0,3,2,9,208,218
density_20_nback_1_id_27,27,density_20_nback_1,20,1,13,3,79,91,141
density_20_nback_2_id_27,27,density_20_nback_2,20,2,4,4,11,21,241
density_0_nback_0_id_28,28,density_0_nback_0,0,0,2,0,17,69,90
density_0_nback_1_id_28,28,density_0_nback_1,0,1,1,0,0,87,90
density_0_nback_2_id_28,28,density_0_nback_2,0,2,2,3,9,103,156
density_10_nback_0_id_28,28,density_10_nback_0,10,0,2,1,17,47,84
density_10_nback_1_id_28,28,density_10_nback_1,10,1,4,2,19,81,189
density_10_nback_2_id_28,28,density_10_nback_2,10,2,5,5,21,29,47
density_20_nback_0_id_28,28,density_20_nback_0,20,0,3,1,9,198,205
density_20_nback_1_id_28,28,density_20_nback_1,20,1,5,5,13,10,253
density_20_nback_2_id_28,28,density_20_nback_2,20,2,8,7,50,20,264
density_0_nback_0_id_29,29,density_0_nback_0,0,0,1,0,9,74,85
density_0_nback_1_id_29,29,density_0_nback_1,0,1,1,0,0,105,106
density_0_nback_2_id_29,29,density_0_nback_2,0,2,1,0,1,54,108
density_10_nback_0_id_29,29,density_10_nback_0,10,0,6,5,39,54,84
density_10_nback_1_id_29,29,density_10_nback_1,10,1,2,0,5,54,207
density_10_nback_2_id_29,29,density_10_nback_2,10,2,4,2,13,31,49
density_20_nback_0_id_29,29,density_20_nback_0,20,0,4,1,7,204,225
density_20_nback_1_id_29,29,density_20_nback_1,20,1,4,1,5,49,85
density_20_nback_2_id_29,29,density_20_nback_2,20,2,3,2,6,11,251
density_0_nback_0_id_30,30,density_0_nback_0,0,0,2,0,4,66,81
density_0_nback_1_id_30,30,density_0_nback_1,0,1,1,0,2,86,90
density_0_nback_2_id_30,30,density_0_nback_2,0,2,1,0,7,105,190
density_10_nback_0_id_30,30,density_10_nback_0,10,0,2,4,20,74,95
density_10_nback_1_id_30,30,density_10_nback_1,10,1,4,2,14,80,169
density_10_nback_2_id_30,30,density_10_nback_2,10,2,7,6,18,67,74
density_20_nback_0_id_30,30,density_20_nback_0,20,0,2,0,3,209,217
density_20_nback_1_id_30,30,density_20_nback_1,20,1,4,3,14,77,95
density_20_nback_2_id_30,30,density_20_nback_2,20,2,2,1,6,7,230
density_0_nback_0_id_31,31,density_0_nback_0,0,0,2,3,7,68,94
density_0_nback_1_id_31,31,density_0_nback_1,0,1,2,0,2,105,109
density_0_nback_2_id_31,31,density_0_nback_2,0,2,2,0,7,76,159
density_10_nback_0_id_31,31,density_10_nback_0,10,0,4,2,26,77,89
density_10_nback_1_id_31,31,density_10_nback_1,10,1,3,0,14,94,198
density_10_nback_2_id_31,31,density_10_nback_2,10,2,4,3,16,58,72
density_20_nback_0_id_31,31,density_20_nback_0,20,0,2,0,10,222,241
density_20_nback_1_id_31,31,density_20_nback_1,20,1,4,3,17,49,86
